identifier,name,security_type,asset_class,quantity,value,risk_level
XS2530201644,"Bonds, Bond funds, Convertible bonds, Interest options",Bond,Fixed Income,0.89,312380.5093945946,Low
XS2588105036,CANADIAN IMPERIAL BANK OF COMMERCE NOTES 23-22.08.28,Bond,Fixed Income,7.7,312380.5093945946,Low
XS2665592833,"HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028",Bond,Fixed Income,3.77,312380.5093945946,Low
XS2692298537,Ordinary Bonds  //  Maturity: 07.11.2029,Bond,Fixed Income,0.0,312380.5093945946,Low
XS2754416860,GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P,Bond,Fixed Income,4.2,312380.5093945946,Low
XS2761230684,LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30,Bond,Fixed Income,0.0,312380.5093945946,Low
XS2736388732,CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE,Bond,Fixed Income,1.58,312380.5093945946,Low
XS2782869916,CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024-,Bond,Fixed Income,29.5,312380.5093945946,Low
XS2824054402,Price to be verified,Bond,Fixed Income,5.6,312380.5093945946,Low
XS2567543397,BOFA 5.6% 2024-29.05.34 REGS,Bond,Fixed Income,0.49,312380.5093945946,Low
XS2110079584,GS 10Y CALLABLE NOTE 2024-18.06.2034,Bond,Fixed Income,0.0,312380.5093945946,Low
XS2848820754,CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34,Bond,Fixed Income,0.48,312380.5093945946,Low
XS2829712830,Ordinary Bonds  //  Maturity: 30.09.2034,Bond,Fixed Income,6.98,312380.5093945946,Low
XS2912278723,GOLDMAN SACHS EMTN 2024-30.09.2024,Bond,Fixed Income,0.0,312380.5093945946,Low
XS2381723902,JPMORGAN CHASE  0 % NOTES 2024-29.10.34 SERIES 2021-,Bond,Fixed Income,0.0,312380.5093945946,Low
XS2829752976,GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024-,Bond,Fixed Income,0.76,312380.5093945946,Low
XS2953741100,YTM: 5.49  //  PRC: 4.00,Bond,Fixed Income,0.0,312380.5093945946,Low
XS2381717250,BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S,Bond,Fixed Income,0.0,312380.5093945946,Low
XS2481066111,JPMORGAN CHASE 0% NOTES 2024-19.12.2034,Bond,Fixed Income,0.0,312380.5093945946,Low
XS2964611052,GOLDMAN SACHS 0% NOTES 2025-03.02.2035,Bond,Fixed Income,0.0,312380.5093945946,Low
LU2228214107,PREMIUM ALT.S.A. SICAV-SIF - COMMERCIAL FINANCE OPP.XB,Bond,Fixed Income,1.75,312380.5093945946,Low
CH1269060229,"BK JULIUS BAER CAP.PROT.(3,25% MIN.4,5% MAX)23-26.05.28",Bond,Fixed Income,3.61,312380.5093945946,Low
XS0461497009,Price to be verified,Bond,Fixed Income,0.17,312380.5093945946,Low
XS2746319610,"Bonds, Bond funds, Convertible bonds, Interest options",Bond,Fixed Income,32.46,312380.5093945946,Low
CH0244767585,"Equities, Equity funds, Options on equities/indices",ETF,Funds,2.24,50727.5574,Medium
XS2519369867,"BCO SAFRA CAYMAN 5% STRUCT.NOTE 2022-21.06.27 3,4%",Bond,Fixed Income,2.55,312380.5093945946,Low
XS2315191069,Days: 69  //  PRC: 5.00,Bond,Fixed Income,1.81,312380.5093945946,Low
XS2792098779,BNP PARIBAS ISS STRUCT.NOTE 21-08.01.29 ON DBDK 29 631,Bond,Fixed Income,1.94,312380.5093945946,Low
XS2714429128,EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN,Bond,Fixed Income,2.54,312380.5093945946,Low
XS2105981117,GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON NAT,Bond,Fixed Income,8.32,312380.5093945946,Low
XS2838389430,Price to be verified,Bond,Fixed Income,5.7,312380.5093945946,Low
XS2631782468,"LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625%",Bond,Fixed Income,23.0,312380.5093945946,Low
XS1700087403,"NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE 21",Bond,Fixed Income,0.99,312380.5093945946,Low
XS2594173093,Price to be verified,Bond,Fixed Income,2.68,312380.5093945946,Low
XS2407295554,NOVUS CAPITAL STRUCT.NOTE 2021-12.01.28 VRN ON,Bond,Fixed Income,0.53,312380.5093945946,Low
XS2518123653,Price to be verified,Bond,Fixed Income,506.0,312380.5093945946,Low
XS2252299883,NOVUS CAPITAL STRUCTURED NOTES 20-15.05.26 ON CS,Bond,Fixed Income,2.56,312380.5093945946,Low
CH1259345242,INTERBK LIBOR 3 MTH,Bond,Fixed Income,4.5,312380.5093945946,Low
CH1259344831,Structured products (Equities),Structured Product,Structured Products,4.75,7851065.0376,Medium
XD0466760473,EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES 2019 1,ETF,Funds,0.13,50727.5574,Medium
